Area Type,Availability,Location,Size,Society,Total Sqft,Bathrooms,Balcony,Price,flag_status
Super Built-Up Area,19-Dec,Electronic City Phase Ii,2 Bhk,Coomee,1056,2.0,1.0,39.07,4
Plot Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2600,5.0,3.0,120.0,4
Built-Up Area,Ready To Move,Uttarahalli,3 Bhk,Grrvagr,1440,2.0,3.0,62.0,4
Super Built-Up Area,Ready To Move,Lingadheeranahalli,3 Bhk,Soiewre,1521,3.0,1.0,95.0,4
Super Built-Up Area,Ready To Move,Kothanur,2 Bhk,Grrvagr,1200,2.0,1.0,51.0,4
Super Built-Up Area,Ready To Move,Whitefield,2 Bhk,Duenata,1170,2.0,1.0,38.0,4
Super Built-Up Area,18-May,Old Airport Road,4 Bhk,Jaades,2732,4.0,2.0,204.0,4
Super Built-Up Area,Ready To Move,Rajaji Nagar,4 Bhk,Brway G,3300,4.0,2.0,600.0,4
Super Built-Up Area,Ready To Move,Marathahalli,3 Bhk,Grrvagr,1310,3.0,1.0,63.25,4
Plot Area,Ready To Move,Gandhi Bazar,6 Bedroom,Grrvagr,1020,6.0,2.0,370.0,4
Super Built-Up Area,18-Feb,Whitefield,3 Bhk,Grrvagr,1800,2.0,2.0,70.0,4
Plot Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,2785,5.0,3.0,295.0,4
Super Built-Up Area,Ready To Move,7Th Phase Jp Nagar,2 Bhk,Shncyes,1000,2.0,1.0,38.0,4
Built-Up Area,Ready To Move,Gottigere,2 Bhk,Grrvagr,1100,2.0,2.0,40.0,4
Plot Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250,3.0,2.0,148.0,4
Super Built-Up Area,Ready To Move,Mysore Road,2 Bhk,Prntaen,1175,2.0,2.0,73.5,4
Super Built-Up Area,Ready To Move,Bisuvanahalli,3 Bhk,Prityel,1180,3.0,2.0,48.0,4
Super Built-Up Area,Ready To Move,Raja Rajeshwari Nagar,3 Bhk,Grrvagr,1540,3.0,3.0,60.0,4
Super Built-Up Area,Ready To Move,Ramakrishnappa Layout,3 Bhk,Pebayle,2770,4.0,2.0,290.0,4
Super Built-Up Area,Ready To Move,Manayata Tech Park,2 Bhk,Grrvagr,1100,2.0,2.0,48.0,4
Built-Up Area,Ready To Move,Kengeri,1 Bhk,Grrvagr,600,1.0,1.0,15.0,0
Super Built-Up Area,19-Dec,Binny Pete,3 Bhk,She 2Rk,1755,3.0,1.0,122.0,4
Plot Area,Ready To Move,Thanisandra,4 Bedroom,Soitya,2800,5.0,2.0,380.0,4
Super Built-Up Area,Ready To Move,Bellandur,3 Bhk,Grrvagr,1767,3.0,1.0,103.0,4
Super Built-Up Area,18-Nov,Thanisandra,1 Rk,Bhe 2Ko,510,1.0,0.0,25.25,0
Super Built-Up Area,18-May,Mangammanapalya,3 Bhk,Grrvagr,1250,3.0,2.0,56.0,4
Super Built-Up Area,Ready To Move,Electronic City,2 Bhk,Itelaa,660,1.0,1.0,23.1,0
Built-Up Area,20-Dec,Whitefield,3 Bhk,Grrvagr,1610,3.0,2.0,81.0,4
Super Built-Up Area,17-Oct,Ramagondanahalli,2 Bhk,Viistla,1151,2.0,2.0,48.77,4
Super Built-Up Area,Ready To Move,Electronic City,3 Bhk,Kbityo,1025,2.0,1.0,47.0,4
Super Built-Up Area,19-Dec,Yelahanka,4 Bhk,Ledorsa,2100 - 2850,4.0,0.0,186.0,4
Super Built-Up Area,Ready To Move,Bisuvanahalli,3 Bhk,Prityel,1075,2.0,1.0,35.0,4
Super Built-Up Area,Ready To Move,Hebbal,3 Bhk,Mahosya,1760,2.0,2.0,123.0,4
Super Built-Up Area,Ready To Move,Raja Rajeshwari Nagar,3 Bhk,Grrvagr,1693,3.0,3.0,57.39,4
Built-Up Area,Ready To Move,Kasturi Nagar,3 Bhk,Kantsce,1925,3.0,2.0,125.0,4
Super Built-Up Area,21-Dec,Kanakpura Road,2 Bhk,Prarepa,700,2.0,1.0,36.0,4
Super Built-Up Area,Ready To Move,Electronics City Phase 1,2 Bhk,Grrvagr,1070,2.0,1.0,45.5,4
Super Built-Up Area,Ready To Move,Kundalahalli,3 Bhk,Dieldli,1724,3.0,2.0,125.0,4
Super Built-Up Area,Ready To Move,Chikkalasandra,3 Bhk,Grrvagr,1290,2.0,2.0,56.12,4
Built-Up Area,Ready To Move,Uttarahalli,2 Bhk,Grrvagr,1143,2.0,2.0,45.0,4
Built-Up Area,Ready To Move,Murugeshpalya,2 Bhk,Gentson,1296,2.0,2.0,81.0,4
Super Built-Up Area,19-Dec,Sarjapur Road,3 Bhk,Soini T,1254,3.0,2.0,38.0,4
Super Built-Up Area,Ready To Move,Ganga Nagar,1 Bhk,Ceove G,600,1.0,0.0,38.0,0
Plot Area,Ready To Move,Yelahanka,1 Bedroom,Grrvagr,660,1.0,0.0,48.0,0
Super Built-Up Area,19-Sep,Kanakpura Road,2 Bhk,Soazak,1330.74,2.0,2.0,91.79,4
Plot Area,Ready To Move,Hsr Layout,8 Bedroom,Grrvagr,600,9.0,2.0,200.0,4
Super Built-Up Area,Ready To Move,Doddathoguru,2 Bhk,Lancyre,970,2.0,0.0,33.0,4
Super Built-Up Area,20-Sep,Whitefield,2 Bhk,Goted U,1459,2.0,1.0,94.82,4
Plot Area,Ready To Move,Kr Puram,2 Bedroom,Grrvagr,800,1.0,1.0,130.0,0
Built-Up Area,Ready To Move,Himagiri Meadows,2 Bhk,Grrvagr,869,2.0,1.0,36.0,4
Super Built-Up Area,Ready To Move,Adarsh Nagar,2 Bhk,Bhncyis,1270,2.0,1.0,50.0,4
Super Built-Up Area,18-Mar,Bhoganhalli,3 Bhk,Rosha I,1670,3.0,1.0,99.0,4
Built-Up Area,Ready To Move,Whitefield,3 Bhk,Suent V,2010,3.0,2.0,91.0,4
Super Built-Up Area,Ready To Move,Lakshminarayana Pura,2 Bhk,Rothava,1185,2.0,2.0,75.0,4
Super Built-Up Area,Ready To Move,Yelahanka,3 Bhk,Ncowsar,1600,2.0,3.0,75.0,4
